account_id,customer_id,customer_name,email,phone,address,state,account_type,account_status,open_date,close_date,credit_score,kyc_status
A00026,C00026,Customer 26,customer26@example.com,9690347116,170 Main St,GJ,SALARY,DORMANT,2023-04-10,,634,REJECTED
A00027,C00027,Customer 27,customer27@example.com,9910959828,748 Main St,TN,SALARY,ACTIVE,2023-07-21,,692,REJECTED
A00028,C00028,Customer 28,customer28@example.com,9584779555,124 Main St,TN,SAVINGS,ACTIVE,2025-07-11,,730,REJECTED
A00029,C00029,Customer 29,customer29@example.com,9347083812,603 Main St,TN,SAVINGS,ACTIVE,2025-04-25,,638,VERIFIED
A00030,C00030,Customer 30,customer30@example.com,9133729406,881 Main St,WB,SAVINGS,ACTIVE,2024-01-31,,751,PENDING
A00031,C00031,Customer 31,customer31@example.com,9330035022,553 Main St,DL,SALARY,DORMANT,2022-12-29,,642,PENDING
A00032,C00032,Customer 32,customer32@example.com,9967043303,417 Main St,TN,SAVINGS,ACTIVE,2023-03-25,,670,PENDING
A00033,C00033,Customer 33,customer33@example.com,9541417711,479 Main St,KA,SALARY,ACTIVE,2025-02-03,,595,PENDING
A00034,C00034,Customer 34,customer34@example.com,9881913386,348 Main St,MH,SAVINGS,ACTIVE,2022-08-21,,694,VERIFIED
A00035,C00035,Customer 35,customer35@example.com,9552991960,188 Main St,GJ,CURRENT,ACTIVE,2025-03-22,,693,REJECTED
A00036,C00036,Customer 36,customer36@example.com,9205128697,52 Main St,KL,SAVINGS,CLOSED,2024-04-26,2024-11-12,684,PENDING
A00037,C00037,Customer 37,customer37@example.com,9616854671,219 Main St,RJ,SAVINGS,ACTIVE,2025-08-19,,679,PENDING
A00038,C00038,Customer 38,customer38@example.com,9941889393,804 Main St,UP,CURRENT,ACTIVE,2022-12-01,,619,VERIFIED
A00039,C00039,Customer 39,customer39@example.com,9418587604,223 Main St,KA,SALARY,ACTIVE,2025-04-21,,771,PENDING
A00040,C00040,Customer 40,customer40@example.com,9161380746,52 Main St,TS,CURRENT,ACTIVE,2022-09-01,,620,VERIFIED
A00041,C00041,Customer 41,customer41@example.com,9645276696,83 Main St,DL,SAVINGS,ACTIVE,2024-04-29,,683,VERIFIED
A00042,C00042,Customer 42,customer42@example.com,9711684318,253 Main St,TS,SALARY,ACTIVE,2025-03-09,,687,REJECTED
A00043,C00043,Customer 43,customer43@example.com,9726713347,579 Main St,KL,CURRENT,DORMANT,2024-07-01,,751,REJECTED
A00044,C00044,Customer 44,customer44@example.com,9437352358,245 Main St,GJ,CURRENT,ACTIVE,2023-12-18,,697,PENDING
A00045,C00045,Customer 45,customer45@example.com,9907308348,959 Main St,MH,SAVINGS,ACTIVE,2025-01-31,,598,REJECTED
A00046,C00046,Customer 46,customer46@example.com,9328872698,519 Main St,GJ,SAVINGS,DORMANT,2025-04-05,,805,VERIFIED
A00047,C00047,Customer 47,customer47@example.com,9496776692,292 Main St,DL,CURRENT,DORMANT,2023-12-13,,736,REJECTED
A00048,C00048,Customer 48,customer48@example.com,9667945747,9 Main St,KL,CURRENT,DORMANT,2025-01-23,,820,VERIFIED
A00049,C00049,Customer 49,customer49@example.com,9383968123,119 Main St,MH,SALARY,ACTIVE,2024-02-13,,652,REJECTED
A00050,C00050,Customer 50,customer50@example.com,9326161867,735 Main St,WB,SAVINGS,ACTIVE,2024-03-01,,709,PENDING
A00051,C00051,Customer 51,customer51@example.com,9369639388,928 Main St,KA,SAVINGS,ACTIVE,2024-02-04,,591,VERIFIED
A00052,C00052,Customer 52,customer52@example.com,9458153605,790 Main St,DL,SALARY,CLOSED,2024-09-27,2026-11-25,693,REJECTED
A00053,C00053,Customer 53,customer53@example.com,9857704655,438 Main St,KL,SAVINGS,ACTIVE,2024-10-22,,719,VERIFIED
A00054,C00054,Customer 54,customer54@example.com,9996139578,379 Main St,TS,SALARY,ACTIVE,2024-12-05,,590,PENDING
A00055,C00055,Customer 55,customer55@example.com,9491541578,921 Main St,KA,CURRENT,ACTIVE,2024-03-30,,750,VERIFIED
A00056,C00056,Customer 56,customer56@example.com,9479759538,799 Main St,KL,CURRENT,CLOSED,2024-10-11,2025-07-10,801,VERIFIED
A00057,C00057,Customer 57,customer57@example.com,9958872154,831 Main St,DL,CURRENT,ACTIVE,2023-10-13,,780,PENDING
A00058,C00058,Customer 58,customer58@example.com,9961393416,686 Main St,TN,CURRENT,ACTIVE,2025-01-14,,677,VERIFIED
A00059,C00059,Customer 59,customer59@example.com,9605399561,228 Main St,TN,CURRENT,ACTIVE,2024-05-14,,637,VERIFIED
A00060,C00060,Customer 60,customer60@example.com,9808705238,198 Main St,RJ,CURRENT,ACTIVE,2025-04-03,,777,PENDING
A00061,C00061,Customer 61,customer61@example.com,9477040284,657 Main St,KL,CURRENT,ACTIVE,2022-08-21,,664,VERIFIED
A00062,C00062,Customer 62,customer62@example.com,9223847257,899 Main St,GJ,SAVINGS,ACTIVE,2024-02-27,,589,VERIFIED
A00063,C00063,Customer 63,customer63@example.com,9740563507,445 Main St,WB,SALARY,ACTIVE,2023-03-14,,735,REJECTED
A00064,C00064,Customer 64,customer64@example.com,9224173718,395 Main St,TS,SAVINGS,ACTIVE,2023-03-14,,580,REJECTED
A00065,C00065,Customer 65,customer65@example.com,9965984448,552 Main St,TN,CURRENT,ACTIVE,2023-10-17,,739,PENDING
A00066,C00066,Customer 66,customer66@example.com,9812306873,869 Main St,MH,SALARY,DORMANT,2022-10-20,,659,REJECTED
A00067,C00067,Customer 67,customer67@example.com,9538508549,335 Main St,RJ,SALARY,ACTIVE,2024-12-06,,629,PENDING
A00068,C00068,Customer 68,customer68@example.com,9813962536,963 Main St,RJ,SALARY,ACTIVE,2024-09-01,,737,REJECTED
A00069,C00069,Customer 69,customer69@example.com,9423142470,416 Main St,KL,SAVINGS,ACTIVE,2024-06-19,,690,REJECTED
A00070,C00070,Customer 70,customer70@example.com,9751397897,671 Main St,WB,CURRENT,ACTIVE,2024-06-12,,710,PENDING
A00071,C00071,Customer 71,customer71@example.com,9952266893,923 Main St,DL,SALARY,ACTIVE,2022-10-03,,749,REJECTED
A00072,C00072,Customer 72,customer72@example.com,9764926227,344 Main St,MH,SAVINGS,ACTIVE,2024-05-20,,786,VERIFIED
A00073,C00073,Customer 73,customer73@example.com,9258220114,26 Main St,KA,SAVINGS,CLOSED,2025-03-27,2026-08-05,686,REJECTED
A00074,C00074,Customer 74,customer74@example.com,9718121922,200 Main St,RJ,CURRENT,ACTIVE,2024-10-25,,747,REJECTED
A00075,C00075,Customer 75,customer75@example.com,9105953697,915 Main St,MH,CURRENT,ACTIVE,2022-09-28,,698,VERIFIED
A00076,C00076,Customer 76,customer76@example.com,9698509918,256 Main St,MH,CURRENT,ACTIVE,2023-01-15,,750,REJECTED
A00077,C00077,Customer 77,customer77@example.com,9700141462,610 Main St,WB,CURRENT,ACTIVE,2022-10-25,,689,REJECTED
A00078,C00078,Customer 78,customer78@example.com,9578796089,919 Main St,DL,SALARY,DORMANT,2023-02-14,,646,VERIFIED
A00079,C00079,Customer 79,customer79@example.com,9784683755,284 Main St,KL,CURRENT,ACTIVE,2024-02-08,,692,VERIFIED
A00080,C00080,Customer 80,customer80@example.com,9866162966,293 Main St,TN,CURRENT,ACTIVE,2025-03-11,,615,VERIFIED
A00081,C00081,Customer 81,customer81@example.com,9348315126,393 Main St,DL,SALARY,ACTIVE,2023-04-27,,684,PENDING
A00082,C00082,Customer 82,customer82@example.com,9682624278,478 Main St,RJ,SAVINGS,ACTIVE,2023-04-16,,679,REJECTED
A00083,C00083,Customer 83,customer83@example.com,9846812123,21 Main St,TS,CURRENT,ACTIVE,2023-09-03,,656,PENDING
A00084,C00084,Customer 84,customer84@example.com,9997356828,430 Main St,KL,SALARY,ACTIVE,2024-05-29,,704,VERIFIED
A00085,C00085,Customer 85,customer85@example.com,9393062061,447 Main St,UP,SAVINGS,ACTIVE,2023-05-18,,765,VERIFIED
A00086,C00086,Customer 86,customer86@example.com,9601856351,942 Main St,DL,SALARY,ACTIVE,2023-06-09,,731,REJECTED
A00087,C00087,Customer 87,customer87@example.com,9811890569,28 Main St,MH,SALARY,ACTIVE,2023-01-21,,626,VERIFIED
A00088,C00088,Customer 88,customer88@example.com,9379340713,389 Main St,WB,SAVINGS,ACTIVE,2023-10-02,,774,PENDING
A00089,C00089,Customer 89,customer89@example.com,9398775766,771 Main St,RJ,CURRENT,DORMANT,2023-01-03,,584,REJECTED
A00090,C00090,Customer 90,customer90@example.com,9679196799,54 Main St,WB,SAVINGS,ACTIVE,2025-06-02,,773,VERIFIED
A00091,C00091,Customer 91,customer91@example.com,9365518424,205 Main St,KA,SALARY,ACTIVE,2024-12-08,,701,REJECTED
A00092,C00092,Customer 92,customer92@example.com,9222824732,578 Main St,TN,CURRENT,ACTIVE,2023-07-30,,622,REJECTED
A00093,C00093,Customer 93,customer93@example.com,9752027025,987 Main St,MH,SAVINGS,CLOSED,2025-01-14,2026-09-28,586,PENDING
A00094,C00094,Customer 94,customer94@example.com,9718257024,694 Main St,RJ,CURRENT,DORMANT,2024-07-13,,599,REJECTED
A00095,C00095,Customer 95,customer95@example.com,9841541582,851 Main St,TN,SAVINGS,ACTIVE,2023-12-15,,797,REJECTED
A00096,C00096,Customer 96,customer96@example.com,9744687060,825 Main St,MH,SALARY,ACTIVE,2023-09-12,,716,PENDING
A00097,C00097,Customer 97,customer97@example.com,9810303128,380 Main St,MH,SALARY,ACTIVE,2025-07-29,,797,PENDING
A00098,C00098,Customer 98,customer98@example.com,9982971099,502 Main St,MH,CURRENT,CLOSED,2023-01-25,2025-02-17,619,PENDING
A00099,C00099,Customer 99,customer99@example.com,9289125618,752 Main St,KL,SALARY,ACTIVE,2022-12-07,,699,PENDING
A00100,C00100,Customer 100,customer100@example.com,9986625773,749 Main St,TS,CURRENT,ACTIVE,2024-04-08,,792,VERIFIED
A00101,C00101,Customer 101,customer101@example.com,9399496923,903 Main St,UP,SAVINGS,ACTIVE,2023-07-09,,666,VERIFIED
A00102,C00102,Customer 102,customer102@example.com,9630757561,872 Main St,WB,SAVINGS,ACTIVE,2023-08-28,,784,PENDING
A00103,C00103,Customer 103,customer103@example.com,9465436049,287 Main St,TS,SALARY,DORMANT,2025-08-03,,712,VERIFIED
A00104,C00104,Customer 104,customer104@example.com,9191926217,248 Main St,RJ,CURRENT,ACTIVE,2024-04-18,,756,PENDING
A00105,C00105,Customer 105,customer105@example.com,9793532952,729 Main St,UP,CURRENT,ACTIVE,2025-02-14,,655,VERIFIED
A00106,C00106,Customer 106,customer106@example.com,9534222401,709 Main St,TN,CURRENT,ACTIVE,2023-07-30,,701,REJECTED
A00107,C00107,Customer 107,customer107@example.com,9670073085,353 Main St,RJ,SALARY,ACTIVE,2023-09-03,,759,PENDING
A00108,C00108,Customer 108,customer108@example.com,9390894296,314 Main St,GJ,SAVINGS,ACTIVE,2024-07-25,,660,VERIFIED
A00109,C00109,Customer 109,customer109@example.com,9897662466,549 Main St,DL,SAVINGS,ACTIVE,2022-12-06,,650,REJECTED
A00110,C00110,Customer 110,customer110@example.com,9733064117,779 Main St,KL,SALARY,ACTIVE,2025-01-30,,793,VERIFIED
A00111,C00111,Customer 111,customer111@example.com,9418092217,233 Main St,WB,SAVINGS,ACTIVE,2022-08-26,,612,PENDING
A00112,C00112,Customer 112,customer112@example.com,9148872110,998 Main St,KA,SALARY,ACTIVE,2024-12-08,,743,PENDING
A00113,C00113,Customer 113,customer113@example.com,9210152642,894 Main St,KA,SALARY,ACTIVE,2022-12-17,,692,PENDING
A00114,C00114,Customer 114,customer114@example.com,9297958983,989 Main St,KA,CURRENT,DORMANT,2022-12-19,,609,VERIFIED
A00115,C00115,Customer 115,customer115@example.com,9530256336,504 Main St,MH,SALARY,ACTIVE,2025-05-06,,618,VERIFIED
A00116,C00116,Customer 116,customer116@example.com,9970957171,577 Main St,GJ,SAVINGS,CLOSED,2024-12-24,2026-08-17,775,PENDING
A00117,C00117,Customer 117,customer117@example.com,9751028618,611 Main St,TS,SAVINGS,ACTIVE,2023-07-06,,695,PENDING
A00118,C00118,Customer 118,customer118@example.com,9419280490,881 Main St,TS,CURRENT,ACTIVE,2025-04-22,,736,REJECTED
A00119,C00119,Customer 119,customer119@example.com,9206551233,971 Main St,TN,SALARY,ACTIVE,2025-03-10,,620,VERIFIED
A00120,C00120,Customer 120,customer120@example.com,9286630878,566 Main St,MH,SAVINGS,ACTIVE,2023-02-13,,756,REJECTED
A00121,C00121,Customer 121,customer121@example.com,9604564682,299 Main St,KA,SAVINGS,ACTIVE,2024-01-22,,759,PENDING
A00122,C00122,Customer 122,customer122@example.com,9176428684,704 Main St,TN,CURRENT,ACTIVE,2024-07-14,,688,VERIFIED
A00123,C00123,Customer 123,customer123@example.com,9684719405,231 Main St,DL,CURRENT,DORMANT,2025-03-30,,595,VERIFIED
A00124,C00124,Customer 124,customer124@example.com,9951078441,315 Main St,TS,SALARY,DORMANT,2024-01-10,,692,VERIFIED
A00125,C00125,Customer 125,customer125@example.com,9603260608,706 Main St,GJ,SALARY,ACTIVE,2024-02-13,,708,REJECTED
A00126,C00126,Customer 126,customer126@example.com,9630208579,449 Main St,MH,SALARY,ACTIVE,2023-03-23,,768,PENDING
A00127,C00127,Customer 127,customer127@example.com,9748232591,257 Main St,KA,SAVINGS,ACTIVE,2025-07-12,,775,REJECTED
A00128,C00128,Customer 128,customer128@example.com,9981994345,276 Main St,TS,SAVINGS,ACTIVE,2024-08-30,,700,REJECTED
A00129,C00129,Customer 129,customer129@example.com,9799552991,453 Main St,GJ,SAVINGS,CLOSED,2023-03-15,2025-01-23,788,PENDING
A00130,C00130,Customer 130,customer130@example.com,9197970787,482 Main St,WB,CURRENT,ACTIVE,2025-01-21,,799,VERIFIED
A00131,C00131,Customer 131,customer131@example.com,9454123990,422 Main St,UP,CURRENT,ACTIVE,2023-05-26,,788,REJECTED
A00132,C00132,Customer 132,customer132@example.com,9139403247,466 Main St,MH,CURRENT,ACTIVE,2024-12-29,,777,PENDING
A00133,C00133,Customer 133,customer133@example.com,9652543518,845 Main St,KA,SALARY,DORMANT,2023-01-20,,685,VERIFIED
A00134,C00134,Customer 134,customer134@example.com,9301415220,531 Main St,WB,SALARY,ACTIVE,2023-03-02,,774,VERIFIED
A00135,C00135,Customer 135,customer135@example.com,9318568997,274 Main St,KL,SAVINGS,DORMANT,2023-03-10,,805,REJECTED
A00136,C00136,Customer 136,customer136@example.com,9620455331,125 Main St,KA,SALARY,ACTIVE,2024-04-20,,761,VERIFIED
A00137,C00137,Customer 137,customer137@example.com,9433665422,565 Main St,KA,SALARY,ACTIVE,2024-05-20,,795,VERIFIED
A00138,C00138,Customer 138,customer138@example.com,9595475899,970 Main St,MH,SALARY,DORMANT,2022-11-07,,818,REJECTED
A00139,C00139,Customer 139,customer139@example.com,9413383963,522 Main St,GJ,CURRENT,DORMANT,2022-12-30,,642,PENDING
A00140,C00140,Customer 140,customer140@example.com,9691916368,149 Main St,RJ,SAVINGS,DORMANT,2022-10-18,,771,VERIFIED
A00141,C00141,Customer 141,customer141@example.com,9174958005,283 Main St,RJ,CURRENT,DORMANT,2022-10-19,,648,VERIFIED
A00142,C00142,Customer 142,customer142@example.com,9403696046,744 Main St,GJ,SALARY,ACTIVE,2022-11-25,,801,VERIFIED
A00143,C00143,Customer 143,customer143@example.com,9579476614,552 Main St,UP,CURRENT,ACTIVE,2023-07-13,,696,PENDING
A00144,C00144,Customer 144,customer144@example.com,9302563940,715 Main St,TN,SALARY,ACTIVE,2023-05-05,,591,PENDING
A00145,C00145,Customer 145,customer145@example.com,9899621068,485 Main St,RJ,CURRENT,CLOSED,2024-10-16,2026-04-06,589,VERIFIED
A00146,C00146,Customer 146,customer146@example.com,9639331014,989 Main St,TS,CURRENT,DORMANT,2023-03-06,,605,REJECTED
A00147,C00147,Customer 147,customer147@example.com,9590622789,16 Main St,DL,CURRENT,DORMANT,2024-10-11,,599,PENDING
A00148,C00148,Customer 148,customer148@example.com,9939156387,993 Main St,GJ,CURRENT,ACTIVE,2023-06-01,,746,VERIFIED
A00149,C00149,Customer 149,customer149@example.com,9452794611,873 Main St,KL,CURRENT,CLOSED,2022-11-28,2024-07-04,589,REJECTED
A00150,C00150,Customer 150,customer150@example.com,9173466219,241 Main St,GJ,SAVINGS,ACTIVE,2023-03-19,,605,REJECTED
A00151,C00151,Customer 151,customer151@example.com,9855797020,894 Main St,MH,CURRENT,ACTIVE,2023-12-19,,811,VERIFIED
A00152,C00152,Customer 152,customer152@example.com,9149382425,333 Main St,KA,CURRENT,ACTIVE,2023-03-25,,617,VERIFIED
A00153,C00153,Customer 153,customer153@example.com,9670335494,422 Main St,TS,SALARY,ACTIVE,2024-09-09,,624,VERIFIED
A00154,C00154,Customer 154,customer154@example.com,9754436820,892 Main St,RJ,SALARY,ACTIVE,2022-11-08,,813,REJECTED
A00155,C00155,Customer 155,customer155@example.com,9253671484,238 Main St,UP,SALARY,ACTIVE,2024-03-19,,750,VERIFIED
A00156,C00156,Customer 156,customer156@example.com,9963968184,477 Main St,GJ,SALARY,ACTIVE,2025-03-25,,693,PENDING
A00157,C00157,Customer 157,customer157@example.com,9730900313,307 Main St,RJ,SALARY,ACTIVE,2023-12-14,,630,PENDING
A00158,C00158,Customer 158,customer158@example.com,9618840705,110 Main St,TN,CURRENT,ACTIVE,2023-12-27,,759,PENDING
A00159,C00159,Customer 159,customer159@example.com,9123557463,850 Main St,RJ,CURRENT,ACTIVE,2025-05-15,,813,REJECTED
A00160,C00160,Customer 160,customer160@example.com,9900122509,509 Main St,GJ,SAVINGS,ACTIVE,2023-09-02,,636,REJECTED
A00161,C00161,Customer 161,customer161@example.com,9304152670,636 Main St,GJ,SALARY,ACTIVE,2024-11-16,,740,VERIFIED
A00162,C00162,Customer 162,customer162@example.com,9773728014,662 Main St,KA,CURRENT,ACTIVE,2025-06-16,,728,PENDING
A00163,C00163,Customer 163,customer163@example.com,9886365312,135 Main St,MH,CURRENT,ACTIVE,2023-04-26,,624,VERIFIED
A00164,C00164,Customer 164,customer164@example.com,9241905500,806 Main St,KL,CURRENT,ACTIVE,2024-02-12,,792,VERIFIED
A00165,C00165,Customer 165,customer165@example.com,9375919523,936 Main St,UP,CURRENT,ACTIVE,2023-09-30,,785,VERIFIED
A00166,C00166,Customer 166,customer166@example.com,9602866993,987 Main St,MH,SAVINGS,ACTIVE,2024-05-18,,800,REJECTED
A00167,C00167,Customer 167,customer167@example.com,9877621770,691 Main St,RJ,SALARY,ACTIVE,2023-06-07,,583,PENDING
A00168,C00168,Customer 168,customer168@example.com,9676140134,127 Main St,UP,CURRENT,ACTIVE,2024-03-05,,729,PENDING
A00169,C00169,Customer 169,customer169@example.com,9983063850,654 Main St,WB,SAVINGS,ACTIVE,2023-01-01,,586,REJECTED
A00170,C00170,Customer 170,customer170@example.com,9702806585,336 Main St,TS,SAVINGS,ACTIVE,2023-01-16,,812,REJECTED
A00171,C00171,Customer 171,customer171@example.com,9424474225,665 Main St,RJ,SAVINGS,ACTIVE,2025-06-08,,657,PENDING
A00172,C00172,Customer 172,customer172@example.com,9224683417,100 Main St,TN,SALARY,ACTIVE,2023-02-06,,674,REJECTED
A00173,C00173,Customer 173,customer173@example.com,9897940629,714 Main St,KL,CURRENT,ACTIVE,2024-10-11,,806,PENDING
A00174,C00174,Customer 174,customer174@example.com,9803217037,102 Main St,UP,SALARY,ACTIVE,2024-01-29,,588,REJECTED
A00175,C00175,Customer 175,customer175@example.com,9497853519,223 Main St,UP,CURRENT,CLOSED,2023-08-12,2023-12-21,755,PENDING
A00176,C00176,Customer 176,customer176@example.com,9684615760,924 Main St,WB,SAVINGS,ACTIVE,2024-07-31,,611,PENDING
A00177,C00177,Customer 177,customer177@example.com,9198433586,679 Main St,TN,SALARY,ACTIVE,2025-07-11,,592,PENDING
A00178,C00178,Customer 178,customer178@example.com,9361530104,129 Main St,TS,SAVINGS,ACTIVE,2024-06-25,,730,VERIFIED
A00179,C00179,Customer 179,customer179@example.com,9973008988,891 Main St,TN,CURRENT,ACTIVE,2025-08-18,,650,VERIFIED
A00180,C00180,Customer 180,customer180@example.com,9239577989,554 Main St,GJ,SAVINGS,ACTIVE,2025-07-02,,613,VERIFIED
A00181,C00181,Customer 181,customer181@example.com,9484659715,809 Main St,TN,SALARY,ACTIVE,2024-09-01,,647,VERIFIED
A00182,C00182,Customer 182,customer182@example.com,9236105947,760 Main St,RJ,SALARY,ACTIVE,2025-04-15,,701,PENDING
A00183,C00183,Customer 183,customer183@example.com,9935389432,371 Main St,KL,SALARY,ACTIVE,2022-10-27,,636,REJECTED
A00184,C00184,Customer 184,customer184@example.com,9146562851,745 Main St,KL,CURRENT,ACTIVE,2025-06-21,,595,PENDING
A00185,C00185,Customer 185,customer185@example.com,9531233244,437 Main St,MH,CURRENT,ACTIVE,2023-02-27,,598,VERIFIED
A00186,C00186,Customer 186,customer186@example.com,9445864933,623 Main St,DL,SAVINGS,ACTIVE,2023-10-28,,677,REJECTED
A00187,C00187,Customer 187,customer187@example.com,9669681065,302 Main St,UP,SALARY,ACTIVE,2025-02-01,,783,REJECTED
A00188,C00188,Customer 188,customer188@example.com,9222851168,874 Main St,KL,SALARY,DORMANT,2023-03-27,,695,VERIFIED
A00189,C00189,Customer 189,customer189@example.com,9544328940,348 Main St,UP,CURRENT,ACTIVE,2025-02-10,,660,PENDING
A00190,C00190,Customer 190,customer190@example.com,9435569630,682 Main St,GJ,CURRENT,CLOSED,2022-12-26,2023-04-03,603,VERIFIED
A00191,C00191,Customer 191,customer191@example.com,9200105056,443 Main St,MH,SALARY,ACTIVE,2024-11-30,,722,VERIFIED
A00192,C00192,Customer 192,customer192@example.com,9729712082,980 Main St,KL,SALARY,ACTIVE,2024-12-16,,685,PENDING
A00193,C00193,Customer 193,customer193@example.com,9814403943,964 Main St,RJ,SALARY,ACTIVE,2024-01-12,,733,PENDING
A00194,C00194,Customer 194,customer194@example.com,9477577220,107 Main St,TS,SALARY,ACTIVE,2022-12-10,,637,VERIFIED
A00195,C00195,Customer 195,customer195@example.com,9475932035,866 Main St,KL,CURRENT,ACTIVE,2024-01-31,,726,VERIFIED
A00196,C00196,Customer 196,customer196@example.com,9966747347,440 Main St,KL,SALARY,ACTIVE,2025-07-01,,735,REJECTED
A00197,C00197,Customer 197,customer197@example.com,9990626742,711 Main St,GJ,SAVINGS,ACTIVE,2023-11-30,,815,PENDING
A00198,C00198,Customer 198,customer198@example.com,9476908532,7 Main St,DL,SAVINGS,ACTIVE,2023-05-26,,597,VERIFIED
A00199,C00199,Customer 199,customer199@example.com,9895609471,649 Main St,KA,SAVINGS,ACTIVE,2024-06-09,,676,PENDING
A00200,C00200,Customer 200,customer200@example.com,9587098457,350 Main St,DL,CURRENT,ACTIVE,2023-10-29,,778,REJECTED
